,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,New Jersey
26,North Carolina
27,North Dakota
28,Ohio
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Texas
37,Utah
38,Vermont
39,Virginia
40,Washington
41,West Virginia
42,Wisconsin
43,Wyoming
44,Arizona
45,Arkansas
46,Colorado
47,Connecticut
48,Delaware
49,Florida
50,Georgia
51,Idaho
52,Illinois
53,Indiana
54,Iowa
55,Kansas
56,Kentucky
57,Louisiana
58,Maine
59,Maryland
60,Massachusetts
61,Michigan
62,Minnesota
63,Mississippi
64,Missouri
65,Montana
66,Nebraska
67,Nevada
68,New Hampshire
69,New Jersey
70,North Carolina
71,North Dakota
72,Ohio
73,Oklahoma
74,Oregon
75,Pennsylvania
76,Rhode Island
77,South Carolina
78,South Dakota
79,Tennessee
80,Texas
81,Utah
82,Vermont
83,Virginia
84,Washington
85,West Virginia
86,Wisconsin
87,Wyoming
88,Arizona
89,Arkansas
90,Colorado
91,Connecticut
92,Delaware
93,Florida
94,Georgia
95,Idaho
96,Illinois
97,Indiana
98,Iowa
99,Kansas
100,Kentucky
101,Louisiana
102,Maine
103,Maryland
104,Massachusetts
105,Michigan
106,Minnesota
107,Mississippi
108,Missouri
109,Montana
110,Nebraska
111,Nevada
112,New Hampshire
113,New Jersey
114,North Carolina
115,North Dakota
116,Ohio
117,Oklahoma
118,Oregon
119,Pennsylvania
120,Rhode Island
121,South Carolina
122,South Dakota
123,Tennessee
124,Texas
125,Utah
126,Vermont
127,Virginia
128,Washington
129,West Virginia
130,Wisconsin
131,Wyoming
132,Arizona
133,Arkansas
134,Colorado
135,Connecticut
136,Delaware
137,Florida
138,Georgia
139,Idaho
140,Illinois
141,Indiana
142,Iowa
143,Kansas
144,Kentucky
145,Louisiana
146,Maine
147,Maryland
148,Massachusetts
149,Michigan
150,Minnesota
151,Mississippi
152,Missouri
153,Montana
154,Nebraska
155,Nevada
156,New Hampshire
157,New Jersey
158,North Carolina
159,North Dakota
160,Ohio
161,Oklahoma
162,Oregon
163,Pennsylvania
164,Rhode Island
165,South Carolina
166,South Dakota
167,Tennessee
168,Texas
169,Utah
170,Vermont
171,Virginia
172,Washington
173,West Virginia
174,Wisconsin
175,Wyoming
176,Arizona
177,Arkansas
178,Colorado
179,Connecticut
180,Delaware
181,Florida
182,Georgia
183,Idaho
184,Illinois
185,Indiana
186,Iowa
187,Kansas
188,Kentucky
189,Louisiana
190,Maine
191,Maryland
192,Massachusetts
193,Michigan
194,Minnesota
195,Mississippi
196,Missouri
197,Montana
198,Nebraska
199,Nevada
200,New Hampshire
201,New Jersey
202,North Carolina
203,North Dakota
204,Ohio
205,Oklahoma
206,Oregon
207,Pennsylvania
208,Rhode Island
209,South Carolina
210,South Dakota
211,Tennessee
212,Texas
213,Utah
214,Vermont
215,Virginia
216,Washington
217,West Virginia
218,Wisconsin
219,Wyoming
220,Arizona
221,Arkansas
222,Colorado
223,Connecticut
224,Delaware
225,Florida
226,Georgia
227,Idaho
228,Illinois
229,Indiana
230,Iowa
231,Kansas
232,Kentucky
233,Louisiana
234,Maine
235,Maryland
236,Massachusetts
237,Michigan
238,Minnesota
239,Mississippi
240,Missouri
241,Montana
242,Nebraska
243,Nevada
244,New Hampshire
245,New Jersey
246,North Carolina
247,North Dakota
248,Ohio
249,Oklahoma
250,Oregon
251,Pennsylvania
252,Rhode Island
253,South Carolina
254,South Dakota
255,Tennessee
256,Texas
257,Utah
258,Vermont
259,Virginia
260,Washington
261,West Virginia
262,Wisconsin
263,Wyoming
264,Arizona
265,Arkansas
266,Colorado
267,Connecticut
268,Delaware
269,Florida
270,Georgia
271,Idaho
272,Illinois
273,Indiana
274,Iowa
275,Kansas
276,Kentucky
277,Louisiana
278,Maine
279,Maryland
280,Massachusetts
281,Michigan
282,Minnesota
283,Mississippi
284,Missouri
285,Montana
286,Nebraska
287,Nevada
288,New Hampshire
289,New Jersey
290,North Carolina
291,North Dakota
292,Ohio
293,Oklahoma
294,Oregon
295,Pennsylvania
296,Rhode Island
297,South Carolina
298,South Dakota
299,Tennessee
300,Texas
301,Utah
302,Vermont
303,Virginia
304,Washington
305,West Virginia
306,Wisconsin
307,Wyoming
308,Arizona
309,Arkansas
310,Colorado
311,Connecticut
312,Delaware
313,Florida
314,Georgia
315,Idaho
316,Illinois
317,Indiana
318,Iowa
319,Kansas
320,Kentucky
321,Louisiana
322,Maine
323,Maryland
324,Massachusetts
325,Michigan
326,Minnesota
327,Mississippi
328,Missouri
329,Montana
330,Nebraska
331,Nevada
332,New Hampshire
333,New Jersey
334,North Carolina
335,North Dakota
336,Ohio
337,Oklahoma
338,Oregon
339,Pennsylvania
340,Rhode Island
341,South Carolina
342,South Dakota
343,Tennessee
344,Texas
345,Utah
346,Vermont
347,Virginia
348,Washington
349,West Virginia
350,Wisconsin
351,Wyoming
352,Arizona
353,Arkansas
354,Colorado
355,Connecticut
356,Delaware
357,Florida
358,Georgia
359,Idaho
360,Illinois
361,Indiana
362,Iowa
363,Kansas
364,Kentucky
365,Louisiana
366,Maine
367,Maryland
368,Massachusetts
369,Michigan
370,Minnesota
371,Mississippi
372,Missouri
373,Montana
374,Nebraska
375,Nevada
376,New Hampshire
377,New Jersey
378,North Carolina
379,North Dakota
380,Ohio
381,Oklahoma
382,Oregon
383,Pennsylvania
384,Rhode Island
385,South Carolina
386,South Dakota
387,Tennessee
388,Texas
389,Utah
390,Vermont
391,Virginia
392,Washington
393,West Virginia
394,Wisconsin
395,Wyoming
396,Arizona
397,Arkansas
398,Colorado
399,Connecticut
400,Delaware
401,Florida
402,Georgia
403,Idaho
404,Illinois
405,Indiana
406,Iowa
407,Kansas
408,Kentucky
409,Louisiana
410,Maine
411,Maryland
412,Massachusetts
413,Michigan
414,Minnesota
415,Mississippi
416,Missouri
417,Montana
418,Nebraska
419,Nevada
420,New Hampshire
421,New Jersey
422,North Carolina
423,North Dakota
424,Ohio
425,Oklahoma
426,Oregon
427,Pennsylvania
428,Rhode Island
429,South Carolina
430,South Dakota
431,Tennessee
432,Texas
433,Utah
434,Vermont
435,Virginia
436,Washington
437,West Virginia
438,Wisconsin
439,Wyoming
440,Arizona
441,Arkansas
442,Colorado
443,Connecticut
444,Delaware
445,Florida
446,Georgia
447,Idaho
448,Illinois
449,Indiana
450,Iowa
451,Kansas
452,Kentucky
453,Louisiana
454,Maine
455,Maryland
456,Massachusetts
457,Michigan
458,Minnesota
459,Mississippi
460,Missouri
461,Montana
462,Nebraska
463,Nevada
464,New Hampshire
465,New Jersey
466,North Carolina
467,North Dakota
468,Ohio
469,Oklahoma
470,Oregon
471,Pennsylvania
472,Rhode Island
473,South Carolina
474,South Dakota
475,Tennessee
476,Texas
477,Utah
478,Vermont
479,Virginia
480,Washington
481,West Virginia
482,Wisconsin
483,Wyoming
484,Arizona
485,Arkansas
486,Colorado
487,Connecticut
488,Delaware
489,Florida
490,Georgia
491,Idaho
492,Illinois
493,Indiana
494,Iowa
495,Kansas
496,Kentucky
497,Louisiana
498,Maine
499,Maryland
500,Massachusetts
501,Michigan
502,Minnesota
503,Mississippi
504,Missouri
505,Montana
506,Nebraska
507,Nevada
508,New Hampshire
509,New Jersey
510,North Carolina
511,North Dakota
512,Ohio
513,Oklahoma
514,Oregon
515,Pennsylvania
516,Rhode Island
517,South Carolina
518,South Dakota
519,Tennessee
520,Texas
521,Utah
522,Vermont
523,Virginia
524,Washington
525,West Virginia
526,Wisconsin
527,Wyoming
528,Arizona
529,Arkansas
530,Colorado
531,Connecticut
532,Delaware
533,Florida
534,Georgia
535,Idaho
536,Illinois
537,Indiana
538,Iowa
539,Kansas
540,Kentucky
541,Louisiana
542,Maine
543,Maryland
544,Massachusetts
545,Michigan
546,Minnesota
547,Mississippi
548,Missouri
549,Montana
550,Nebraska
551,Nevada
552,New Hampshire
553,New Jersey
554,North Carolina
555,North Dakota
556,Ohio
557,Oklahoma
558,Oregon
559,Pennsylvania
560,Rhode Island
561,South Carolina
562,South Dakota
563,Tennessee
564,Texas
565,Utah
566,Vermont
567,Virginia
568,Washington
569,West Virginia
570,Wisconsin
571,Wyoming
572,Arizona
573,Arkansas
574,Colorado
575,Connecticut
576,Delaware
577,Florida
578,Georgia
579,Idaho
580,Illinois
581,Indiana
582,Iowa
583,Kansas
584,Kentucky
585,Louisiana
586,Maine
587,Maryland
588,Massachusetts
589,Michigan
590,Minnesota
591,Mississippi
592,Missouri
593,Montana
594,Nebraska
595,Nevada
596,New Hampshire
597,New Jersey
598,North Carolina
599,North Dakota
600,Ohio
601,Oklahoma
602,Oregon
603,Pennsylvania
604,Rhode Island
605,South Carolina
606,South Dakota
607,Tennessee
608,Texas
609,Utah
610,Vermont
611,Virginia
612,Washington
613,West Virginia
614,Wisconsin
615,Wyoming
616,Arizona
617,Arkansas
618,Colorado
619,Connecticut
620,Delaware
621,Florida
622,Georgia
623,Idaho
624,Illinois
625,Indiana
626,Iowa
627,Kansas
628,Kentucky
629,Louisiana
630,Maine
631,Maryland
632,Massachusetts
633,Michigan
634,Minnesota
635,Mississippi
636,Missouri
637,Montana
638,Nebraska
639,Nevada
640,New Hampshire
641,New Jersey
642,North Carolina
643,North Dakota
644,Ohio
645,Oklahoma
646,Oregon
647,Pennsylvania
648,Rhode Island
649,South Carolina
650,South Dakota
651,Tennessee
652,Texas
653,Utah
654,Vermont
655,Virginia
656,Washington
657,West Virginia
658,Wisconsin
659,Wyoming
660,Arizona
661,Arkansas
662,Colorado
663,Connecticut
664,Delaware
665,Florida
666,Georgia
667,Idaho
668,Illinois
669,Indiana
670,Iowa
671,Kansas
672,Kentucky
673,Louisiana
674,Maine
675,Maryland
676,Massachusetts
677,Michigan
678,Minnesota
679,Mississippi
680,Missouri
681,Montana
682,Nebraska
683,Nevada
684,New Hampshire
